impressions_7d,clicks_7d,conversions_7d,spend_7d,impressions_30d,clicks_30d,conversions_30d,spend_30d,budget_30d,util_30d,edits_7d,creates_7d,churn
158,16,1,80.95909508062542,1429,150,16,728.4865175311606,938.4656312350435,0.7762527398818588,2,1,1
0,0,0,0.0,0,0,0,0.0,0.001,0.0,5,2,1
0,0,0,0.0,0,0,0,0.0,0.001,0.0,0,3,1
351,42,3,252.3436554095393,1284,155,14,921.7635265551579,1305.0328337188885,0.7063144334295814,2,4,0
533,42,2,179.79922082695126,2234,177,12,752.7425363978464,957.3286682718876,0.7862947818711542,6,2,0
655,22,2,94.03725483070687,4778,165,17,685.3527464004111,788.785925677114,0.8688704046184479,2,2,1
623,18,2,112.60196389920696,5871,170,21,1060.2253561643058,1216.847898182005,0.871288316106149,3,0,0
1013,40,2,184.51956867219542,3713,149,10,676.0659334596864,788.2686594906618,0.8576592831897251,2,1,0
846,26,1,99.81676774260804,4721,149,11,556.8077323170171,810.8406193957771,0.6867042905817169,2,3,0
276,23,2,108.2907706333868,1811,157,15,708.8345990903205,1060.6834645851234,0.6682809931119033,3,1,0
1040,26,2,122.95732690884435,4902,124,12,579.0734608297439,719.66742824433,0.8046403631777901,3,1,0
1168,25,1,169.02075374368988,6344,140,10,917.694781881607,1116.704815560805,0.8217881476769169,1,0,0
538,40,3,241.54909912200173,2339,177,14,1048.6942395906824,1245.3342070494837,0.8420986379835403,2,0,0
467,27,2,168.1313192792243,2377,139,14,854.5053657118817,1221.5391423235783,0.6995317105323904,5,2,0
805,36,2,214.61025189007844,3365,154,11,896.2759409214051,1060.9075882746563,0.8448199926432894,1,0,1
1428,42,4,252.7004349119394,5276,157,18,933.5602564436043,1371.9948095578472,0.680440078883726,0,1,0
266,24,2,104.37162782178774,1913,174,18,750.2737099750246,1025.5802588461363,0.7315602104306741,2,3,1
699,26,2,126.64150439182933,4217,159,17,763.422257298796,1113.7204125493079,0.6854702928101328,2,2,0
0,0,0,0.0,0,0,0,0.0,0.001,0.0,1,0,1
1162,42,4,203.07384666960183,3977,145,17,694.4792355721302,955.7932882147691,0.7265998246014874,6,2,0
781,26,2,150.510601614619,4515,153,12,869.6680636130154,1172.1250407296711,0.7419584373623055,3,3,0
1195,24,2,126.6742556791292,6782,140,17,718.8416598737145,1029.725994462401,0.698090233459637,2,1,1
744,31,3,196.56323200413922,3227,135,14,852.0499105596398,1222.133953380099,0.6971820954676001,3,0,0
926,26,3,102.85747504674971,5040,145,18,559.4947101270532,747.4396065330839,0.7485483846945276,1,2,0
